"WT24h"	"WT24hMBV20uM"	"PKKO24h"	"PKKO24hMBV20uM"	"REV24h"	"WT48h"	"WT48hMBV20uM"	"PKKO48h"	"PKKO48hMBV20uM"	"REV48h"	"REV48hMBV20uM"
"BMRF1"	-1.76778872	-1.26647166	-1.14531684	-1.00904659	-1.45080129	-0.322146329999999	-0.0262680700000004	-0.269628529999999	0.32179421	-1.05507392	-0.0838415300000008
"BMRF2"	-1.95778872	-1.43647166	-1.28531684	-1.07904659	-1.58080129	-0.44214633	-0.0562680700000016	-0.43962853	0.121794210000001	-0.235073920000001	-0.273841530000002
"BNLF2a"	-4.65778872	-5.17647166	-5.12531684	-5.23904659	-4.23080129	-1.25214633	-2.24626807	-3.14962853	-3.39820579	-0.445073919999999	-1.74384153
"BNLF2b"	-12.49778872	-12.80647166	-12.99531684	-12.96904659	-13.18080129	-8.66214633	-10.71626807	-10.92962853	-10.68820579	-8.57507392	-9.48384153
"BNRF1"	-5.46778872	-6.34647166	-8.08531684	-7.69904659	-6.13080129	-0.682146329999998	-1.98626807	-3.87962853	-3.69820579	-1.01507392	-2.26384153
"BOLF1"	-2.02778872	-2.09647166	-1.25531684	-1.02904659	-1.77080129	0.46785367	0.373731929999998	0.230371470000001	1.23179421	-0.145073920000002	0.10615847
"BORF1"	-3.33778872	-3.28647166	-2.62531684	-2.31904659	-3.11080129	-1.37214633	-1.08626807	-1.51962853	-0.42820579	-1.18507392	-1.28384153
"BORF2"	-3.34778872	-3.11647166	-2.56531684	-1.98904659	-2.88080129	-1.28214633	-0.826268070000001	-0.919628529999997	-0.26820579	-1.05507392	-0.973841530000001
"BPLF1"	-3.90778872	-4.31647166	-3.02531684	-3.16904659	-3.76080129	-1.43214633	-1.25626807	-1.68962853	-0.648205789999999	-1.38507392	-1.57384153
"BRLF1"	-4.28778872	-3.73647166	-3.71531684	-3.72904659	-4.12080129	-2.62214633	-2.76626807	-2.69962853	-2.13820579	-2.52507392	-2.58384153
"BRRF1"	-5.43778872	-5.06647166	-4.71531684	-4.87904659	-5.03080129	-3.01214633	-3.09626807	-3.16962853	-3.11820579	-2.94507392	-3.32384153
"BRRF2"	-5.41778872	-5.26647166	-5.09531684	-4.91904659	-4.87080129	-1.65214633	-2.02626807	-2.49962853	-2.27820579	-1.24507392	-1.88384153
"BSLF1"	-6.22778872	-5.82647166	-5.53531684	-5.33904659	-5.60080129	-2.80214633	-2.66626807	-3.65962853	-3.12820579	-2.63507392	-2.63384153
"BSLF2"	-7.16778872	-6.38647166	-6.37531684	-6.03904659	-6.82080129	-5.85214633	-5.17626807	-5.38962853	-4.75820579	-5.35507392	-5.43384153
"BSRF1"	-4.70778872	-4.15647166	-4.62531684	-4.67904659	-4.62080129	-1.40214633	-1.65626807	-2.53962853	-1.81820579	-1.58507392	-1.46384153
"BTRF1"	-8.98778872	-9.32647166	-9.67531684	-9.64904659	-9.80080129	-6.15214633	-6.68626807	-7.45962853	-7.47820579	-5.27507392	-6.20384153
"BVRF1"	-6.57778872	-6.28647166	-7.05531684	-6.97904659	-6.22080129	-3.27214633	-4.20626807	-4.72962853	-4.34820579	-2.38507392	-3.73384153
"BVRF2"	-5.70778872	-6.76647166	-6.54531684	-6.97904659	-5.22080129	-0.67214633	-2.67626807	-3.37962853	-3.58820579	-0.165073920000001	-1.69384153
"BWRF1_43261"	-4.47778872	-5.09647166	-4.81531684	-5.04904659	-5.19080129	-1.98214633	-1.87626807	-3.84962853	-2.70820579	-2.13507392	-1.79384153
"BXLF1"	-4.39778872	-4.18647166	-4.52531684	-4.27904659	-4.08080129	-2.56214633	-2.12626807	-3.35962853	-2.75820579	-2.13507392	-2.04384153
"BXLF2"	-5.85778872	-5.04647166	-5.68531684	-5.84904659	-5.57080129	-2.94214633	-3.10626807	-4.41962853	-3.85820579	-2.77507392	-3.44384153
"BXRF1"	-9.66778872	-9.93647166	-10.52531684	-10.68904659	-9.47080129	-4.67214633	-6.11626807	-6.80962853	-6.74820579	-3.81507392	-5.60384153
"BYRF1"	-5.23778872	-5.18647166	-5.65531684	-5.17904659	-5.60080129	-3.16214633	-2.27626807	-4.22962853	-3.18820579	-3.24507392	-2.53384153
"EBNA3C"	-4.89778872	-6.04647166	-5.54531684	-5.71904659	-4.77080129	0.64785367	-1.74626807	-2.18962853	-2.40820579	0.88492608	-1.03384153
"exonEBNA"	-4.97778872	-5.31647166	-5.71531684	-5.20904659	-5.66080129	-2.91214633	-2.17626807	-4.34962853	-3.17820579	-3.12507392	-2.46384153
"GAPDH"	1.36221128	1.28352834	1.45468316	1.58095341	1.68919871	1.16785367	1.59373193	1.28037147	1.30179421	1.48492608	1.40615847
"HPRT"	-4.47778872	-5.47647166	-5.34531684	-5.36904659	-4.18080129	1.16785367	-0.966268070000002	-1.49962853	-1.73820579	1.56492608	-0.493841530000001
"LMP-1"	-4.37778872	-4.89647166	-4.64531684	-4.69904659	-4.53080129	-3.21214633	-3.70626807	-4.51962853	-4.26820579	-2.82507392	-3.08384153
"LMP-2A_166576"	-7.06778872	-7.51647166	-7.41531684	-8.15904659	-6.92080129	-0.982146329999999	-3.38626807	-3.40962853	-3.63820579	-0.415073920000001	-2.60384153
"LMP-2A_503"	-4.95778872	-5.37647166	-5.33531684	-5.30904659	-5.00080129	-1.72214633	-3.05626807	-4.15962853	-3.79820579	-1.39507392	-3.24384153
"LMP-2A_59"	-4.16778872	-3.71647166	-4.62531684	-4.77904659	-3.66080129	-1.39214633	-1.42626807	-2.71962853	-2.27820579	-1.14507392	-1.42384153
